index,Case,Test,QL_bpd,TargetRPM,TargetP_psi,RPM,TargetVISL_cp,DP_psi,Ns,D_in,DENL_kgm3,WR_%,WC,Head_ft,exp_Ns,BHP_hp,VISL_cP_real,QL_round,eff_%,R2_m,Ptank_psi,Tin_F,QG_bpd,Pump,Comments
28,DN1750_Banjar,Emulsion,375.1072326,2000,100,2000,83,2.15488829,2185,4,866.4454111,4.44380131,0,5.743751721,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
29,DN1750_Banjar,Emulsion,398.0643933,2000,100,2000,83,2.0893894,2185,4,866.3456999,4.37027245,0,5.569808539,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
30,DN1750_Banjar,Emulsion,412.2153995,2000,100,2000,83,2.06317902,2185,4,866.4167242,4.42264683,0,5.499487127,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
31,DN1750_Banjar,Emulsion,427.5285877,2000,100,2000,83,2.03957215,2185,4,866.3834031,3.74698711,0,5.43677115,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
32,DN1750_Banjar,Emulsion,435.5908154,2000,100,2000,83,2.0015117,2185,4,866.3913008,3.75283385,0,5.335266945,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
33,DN1750_Banjar,Emulsion,438.9288563,2000,100,2000,83,2.00789977,2185,4,866.3465697,3.71972769,0,5.352571452,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
34,DN1750_Banjar,Emulsion,442.0565672,2000,100,2000,83,2.00809654,2185,4,866.4110334,3.76743644,0,5.352697706,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
35,DN1750_Banjar,Emulsion,446.0608334,2000,100,2000,83,1.98922059,2185,4,866.323046,3.70231702,0,5.3029213,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
36,DN1750_Banjar,Emulsion,34.56442657,2000,100,2000,90,2.98104267,2185,4,894.0564666,20.63661525,0.2,7.700436562,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
37,DN1750_Banjar,Emulsion,35.32778696,2000,100,2000,90,3.08479267,2185,4,944.5932706,61.18487007,0.6,7.542116502,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
38,DN1750_Banjar,Emulsion,41.27278032,2000,100,2000,90,2.8213553,2185,4,905.2247753,29.94716528,0.3,7.198026699,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
39,DN1750_Banjar,Emulsion,42.09851706,2000,100,2000,90,4.1697258,2185,4,932.4528643,50.29636405,0.5,10.32744078,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
40,DN1750_Banjar,Emulsion,44.32469086,2000,100,2000,90,2.72183944,2185,4,918.5917109,40.25963399,0.4,6.84308736,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
41,DN1750_Banjar,Emulsion,50.92379531,2000,100,2000,90,2.49325334,2185,4,930.7077228,49.76532805,0.5,6.186787445,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
42,DN1750_Banjar,Emulsion,62.40064972,2000,100,2000,90,3.13257169,2185,4,944.2478322,60.92302426,0.6,7.661734986,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
43,DN1750_Banjar,Emulsion,65.65133855,2000,100,2000,90,2.42126278,2185,4,930.7281347,49.7808916,0.5,6.008017478,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
44,DN1750_Banjar,Emulsion,69.0894153,2000,100,2000,90,2.82523121,2185,4,893.7977084,20.51025443,0.2,7.300067268,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
45,DN1750_Banjar,Emulsion,76.92360182,2000,100,2000,90,4.00678959,2185,4,931.0567364,50.0354459,0.5,9.938766644,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
46,DN1750_Banjar,Emulsion,79.82363226,2000,100,2000,90,2.36593717,2185,4,930.7767359,49.79314621,0.5,5.870428341,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
47,DN1750_Banjar,Emulsion,80.15322753,2000,100,2000,90,2.54371029,2185,4,918.0967992,40.35732789,0.4,6.398693049,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
48,DN1750_Banjar,Emulsion,87.28787106,2000,100,2000,90,2.338662,2185,4,930.7917316,49.80459327,0.5,5.802658953,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
49,DN1750_Banjar,Emulsion,87.87862231,2000,100,2000,90,2.63656216,2185,4,904.8928156,30.08317964,0.3,6.72903796,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
50,DN1750_Banjar,Emulsion,98.02128835,2000,100,2000,90,2.52381881,2185,4,917.9577005,40.31095834,0.4,6.349618127,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
51,DN1750_Banjar,Emulsion,106.2994509,2000,100,2000,90,2.27508784,2185,4,930.8795324,49.96700598,0.5,5.644387111,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
52,DN1750_Banjar,Emulsion,109.2441145,2000,100,2000,90,3.88554498,2185,4,930.8852452,50.07255463,0.5,9.639797209,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
53,DN1750_Banjar,Emulsion,111.805631,2000,100,2000,90,2.60272557,2185,4,904.5440936,29.86783408,0.3,6.645241066,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
54,DN1750_Banjar,Emulsion,113.2176081,2000,100,2000,90,2.70087536,2185,4,893.5418599,20.71719907,0.2,6.980744514,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
55,DN1750_Banjar,Emulsion,114.9952418,2000,100,2000,90,2.47038601,2185,4,918.0206117,40.3362647,0.4,6.214761843,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
56,DN1750_Banjar,Emulsion,129.0711507,2000,100,2000,90,2.44408721,2185,4,918.1987991,40.47610402,0.4,6.147408617,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
57,DN1750_Banjar,Emulsion,129.4091359,2000,100,2000,90,2.54614193,2185,4,904.8664026,30.23701229,0.3,6.498456996,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
58,DN1750_Banjar,Emulsion,130.1573186,2000,100,2000,90,3.81972201,2185,4,930.7027203,50.03107834,0.5,9.478352968,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
59,DN1750_Banjar,Emulsion,132.8809765,2000,100,2000,90,2.37429888,2185,4,917.9301993,40.2715034,0.4,5.973623313,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
60,DN1750_Banjar,Emulsion,136.8582295,2000,100,2000,90,2.60039185,2185,4,893.5153472,20.73377376,0.2,6.721231954,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
61,DN1750_Banjar,Emulsion,146.8112369,2000,100,2000,90,2.34648222,2185,4,917.7865379,40.2711878,0.4,5.904562014,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
62,DN1750_Banjar,Emulsion,151.1543,2000,100,2000,90,3.73477829,2185,4,930.7565013,50.10837989,0.5,9.267036015,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
63,DN1750_Banjar,Emulsion,153.554803,2000,100,2000,90,2.32213838,2185,4,918.0735032,40.49164762,0.4,5.84147802,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
64,DN1750_Banjar,Emulsion,155.7485973,2000,100,2000,90,2.51092069,2185,4,904.277054,29.82979937,0.3,6.412739351,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
65,DN1750_Banjar,Emulsion,156.0873885,2000,100,2000,90,2.3097242,2185,4,918.2934408,40.60362299,0.4,5.808857812,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
66,DN1750_Banjar,Emulsion,156.7875241,2000,100,2000,90,2.2811137,2185,4,918.1393308,40.52531116,0.4,5.737866567,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
67,DN1750_Banjar,Emulsion,157.592186,2000,100,2000,90,2.31136575,2185,4,917.967452,40.36154415,0.4,5.81505055,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
68,DN1750_Banjar,Emulsion,160.6248215,2000,100,2000,90,2.56076835,2185,4,893.3283864,20.63033395,0.2,6.62020233,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
69,DN1750_Banjar,Emulsion,163.907804,2000,100,2000,90,2.28789492,2185,4,918.1014829,40.49237144,0.4,5.75516115,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
70,DN1750_Banjar,Emulsion,163.9975194,2000,100,2000,90,2.29124081,2185,4,918.2547543,40.59879916,0.4,5.762615647,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
71,DN1750_Banjar,Emulsion,164.2338122,2000,100,2000,90,2.29167772,2185,4,918.0903216,40.48387254,0.4,5.764746801,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
72,DN1750_Banjar,Emulsion,164.921817,2000,100,2000,90,3.70403025,2185,4,930.8024515,50.13569872,0.5,9.190287762,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
73,DN1750_Banjar,Emulsion,165.1166038,2000,100,2000,90,2.2941009,2185,4,918.2420443,40.63018993,0.4,5.769888818,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
74,DN1750_Banjar,Emulsion,166.6954433,2000,100,2000,90,2.31592392,2185,4,918.0082363,40.50367682,0.4,5.826259369,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
75,DN1750_Banjar,Emulsion,170.0071244,2000,100,2000,90,2.43851441,2185,4,904.8039848,30.22469777,0.3,6.224191203,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
76,DN1750_Banjar,Emulsion,176.9551414,2000,100,2000,90,3.50467791,2185,4,941.3474322,58.7244908,0.6,8.598254043,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
77,DN1750_Banjar,Emulsion,179.2852218,2000,100,2000,90,3.66161762,2185,4,930.8068052,50.16581548,0.5,9.085012792,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
78,DN1750_Banjar,Emulsion,184.4495533,2000,100,2000,90,3.63272598,2185,4,930.8364536,50.06977164,0.5,9.01304129,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
79,DN1750_Banjar,Emulsion,190.8301204,2000,100,2000,90,3.60255451,2185,4,930.8246808,50.21773961,0.5,8.938296859,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
